pump_outlet_Pa,expander_outlet_Pa,expander_eff,heater_outlet_K,Q_in_kW,W_pump_kW,W_exp_kW,Q_out_kW,net_kW,thermal_eff
1800000,500000,0.70,373.15,405.5985,2.77874,36.3651,372.0242,33.5864,0.08281
1800000,500000,0.75,373.15,405.5985,2.77874,38.9627,369.4267,36.1839,0.08921
1800000,500000,0.80,373.15,405.5985,2.77874,41.5602,366.8292,38.7814,0.09562
1800000,500000,0.85,373.15,405.5985,2.77874,44.1577,364.2317,41.3789,0.10202
1800000,500000,0.90,373.15,405.5985,2.77874,46.7552,361.6342,43.9764,0.10842
1800000,550000,0.70,373.15,405.5985,2.77874,33.5639,374.8195,30.7852,0.07590
1800000,550000,0.75,373.15,405.5985,2.77874,35.9613,372.4221,33.1826,0.08181
1800000,550000,0.80,373.15,405.5985,2.77874,38.3587,370.0247,35.5800,0.08772
1800000,550000,0.85,373.15,405.5985,2.77874,40.7562,367.6273,37.9774,0.09363
1800000,550000,0.90,373.15,405.5985,2.77874,43.1536,365.2298,40.3748,0.09954
1800000,600000,0.70,373.15,405.5985,2.77874,31.0092,377.3680,28.2305,0.06960
1800000,600000,0.75,373.15,405.5985,2.77874,33.2242,375.1530,30.4455,0.07506
1800000,600000,0.80,373.15,405.5985,2.77874,35.4391,372.9381,32.6604,0.08052
1800000,600000,0.85,373.15,405.5985,2.77874,37.6541,370.7232,34.8753,0.08598
1800000,600000,0.90,373.15,405.5985,2.77874,39.8690,368.5082,37.0903,0.09145
1800000,650000,0.70,373.15,405.5985,2.77874,28.6631,379.7078,25.8843,0.06382
1800000,650000,0.75,373.15,405.5985,2.77874,30.7104,377.6604,27.9317,0.06887
1800000,650000,0.80,373.15,405.5985,2.77874,32.7578,375.6130,29.9791,0.07391
1800000,650000,0.85,373.15,405.5985,2.77874,34.8052,373.5657,32.0264,0.07896
1800000,650000,0.90,373.15,405.5985,2.77874,36.8525,371.5183,34.0738,0.08401
1800000,700000,0.70,373.15,405.5985,2.77874,26.4956,381.8687,23.7168,0.05847
1800000,700000,0.75,373.15,405.5985,2.77874,28.3881,379.9761,25.6094,0.06314
1800000,700000,0.80,373.15,405.5985,2.77874,30.2807,378.0836,27.5019,0.06781
1800000,700000,0.85,373.15,405.5985,2.77874,32.1732,376.1911,29.3945,0.07247
1800000,700000,0.90,373.15,405.5985,2.77874,34.0657,374.2985,31.2870,0.07714
1800000,500000,0.70,383.15,430.0424,2.77874,38.3794,394.4539,35.6007,0.08278
1800000,500000,0.75,383.15,430.0424,2.77874,41.1208,391.7125,38.3421,0.08916
1800000,500000,0.80,383.15,430.0424,2.77874,43.8622,388.9711,41.0835,0.09553
